"","...1","species","longitude","latitude","genus","state","province","locality","elevation.in.m","principal.collector","determinator","herbarium","collection.code","picture.code.link","note","original.name","x","link2","gbifid","link","datasetkey","countrycode","stateprovince","elevation","basisofrecord","institutioncode","collectioncode","catalognumber","recordnumber","identifiedby","recordedby","tae","region","location","elevation2","main.collector","note1","note2","x.1","scientificname","typestatus","altitude.in.m","determined.by","verbatimscientificname","x.2","occurrenceid","kingdom","phylum","class","order","family","infraspecificepithet","taxonrank","verbatimscientificnameauthorship","occurrencestatus","individualcount","publishingorgkey","coordinateuncertaintyinmeters","coordinateprecision","elevationaccuracy","depth","depthaccuracy","eventdate","day","month","year","taxonkey","specieskey","dateidentified","license","rightsholder","establishmentmeans","lastinterpreted","mediatype","issue","cataloguenumber.colectioncode","note.1"
"1",1,"antisanae",-78.86666,-2.53333,"Senecio","ECU","Cañar","Ingapirca. Intermontane dry valley with scattered cactus and thorn scrub.","2700","L.B. Holm-Nielsen","Harold Robinson","AAU, MO","20877","http://legacy.tropicos.org/Specimen/572164",NA,NA,NA,"https://www.gbif.org/occurrence/",1261284341,"https://www.gbif.org/occurrence/1261284341","7bd65a7a-f762-11e1-a439-00145eb45e9a","EC","Cañar",2700,"MO","572164","Holm-Nielsen 20877","Robinson","L.B. Holm-Nielsen",NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,"antisanae",-78.5058333,-1.6486111,"Senecio","ECU","Chimborazo",NA,"3240","Petr Sklenar","Petr Sklenar",NA,"12094",NA,"from Petr's tables","Senecio iscoensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,"antisanae",-79.02758,-1.541687,"Senecio","ECU","Chimborazo","Carretera Guaranda-Pueblo Viejo","3100","B Larsen","Luciana Salomon","FMNH","86","IMG_1161","coordinates created by Diana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,"antisanae",-78.2668333,-0.3316944,"Senecio","ECU","Pichincha","Patches of Polylepis forest along the road to el Inga (to the east from Itulcachi on the road Pifo-Sangolquí).","3680","Petr Sklenar","Petr Sklenar",NA,"11095",NA,"from Petr's tables","Senecio iscoensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,"betonicifolius",-77.3333333,-9.7333333,"Senecio","PER","Ancash","Huascaran","3950-4080","DN Smith, M Buddenslek","Determined by Luciana","HUT","11069",NA,NA,"Senecio betonicifolius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,"betonicifolius",-77.4,-9.5,"Senecio","PER","Ancash, Huaraz","Huascaran National Park","3700-4000","DN Smith, R Valencia","Determined by Luciana","CPUN","10722",NA,NA,"Senecio betonicifolius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,"betonicifolius",-77.6666667,-6.1666667,"Senecio","PER","Amazonas","Molinopampa","2400-2460","J Luteyn","Determined by Luciana","Herbario San Marcos, Lima, Peru","11428",NA,NA,"Senecio betonicifolius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,"betonicifolius",-79.4516667,-4.6786111,"Senecio","ECU","Loja","Zamora-Chinchipe, Road from Jimbura to Las Cienegas","2550","Petr Sklenar","Petr Sklenar",NA,"12024",NA,"from Petr's tables",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,"betonicifolius",-79.2463889,-4.0163889,"Senecio","ECU","Loja","Via antigua from Loja to Catamayo, western outskirts of Loja","2380","Petr Sklenar","Petr Sklenar",NA,"12065",NA,"from Petr's tables",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,"burkartii",-66.916691,-24.633505,"Senecio","ARG","Salta","Cerro Grande (del cajon)","4800 (4000 according to google)","Rodriguez",NA,"Kew","1359","http://apps.kew.org/herbcat/detailsQuery.do?imageId=197008&pageCode=1&presentPage=1&queryId=1&sessionId=5EF8A722F6AE790DCA3B8DFDA2F49EFE&barcode=K000527519",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
